City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Nanortalik,GL,2022-07-28 18:54:33,60.1432,-45.2371,45.39,79,14,6.69
127,Panjakent,TJ,2022-07-28 18:54:33,39.4952,67.6093,76.15,37,46,1.72
128,Uvira,CD,2022-07-28 18:54:34,-3.4067,29.1458,76.55,71,99,5.95
129,Sitka,US,2022-07-28 18:54:34,57.0531,-135.33,58.62,98,100,4.05
130,Vila,PT,2022-07-28 18:52:19,42.0304,-8.1588,69.69,59,0,5.12
131,Wanning,CN,2022-07-28 18:54:34,18.8003,110.3967,79.79,84,37,5.37
132,Daeni,RO,2022-07-28 18:54:35,44.8333,28.1167,73.94,51,4,8.3
133,Provideniya,RU,2022-07-28 18:54:35,64.3833,-173.3,47.93,89,100,3.27
134,Port Hedland,AU,2022-07-28 18:54:35,-20.3167,118.5667,59.05,67,0,8.05
135,Zabol,AF,2022-07-28 18:54:35,32.25,67.25,78.24,58,100,12.35
136,Chuy,UY,2022-07-28 18:54:36,-33.6971,-53.4616,51.08,89,100,17.27
137,Half Moon Bay,US,2022-07-28 18:53:50,37.4636,-122.4286,81.54,74,100,16.11
138,Mount Vernon,US,2022-07-28 18:54:05,40.9126,-73.8371,92.48,66,100,5.01
139,Kawalu,ID,2022-07-28 18:55:36,-7.3817,108.2082,71.74,95,100,1.81
140,Gat,IL,2022-07-28 18:55:04,31.61,34.7642,84.4,100,0,6.4
141,Henties Bay,NA,2022-07-28 18:55:36,-22.116,14.2845,54.5,89,43,7.29
142,Sarkand,KZ,2022-07-28 18:55:36,45.41,79.9186,73.98,44,28,7.58
143,Manavalakurichi,IN,2022-07-28 18:55:37,8.1333,77.3,77.9,91,100,7.76
144,Port-Gentil,GA,2022-07-28 18:55:37,-0.7193,8.7815,75.16,83,40,9.22
145,Caucaia,BR,2022-07-28 18:55:37,-3.7361,-38.6531,88.3,66,0,11.5
146,Ilulissat,GL,2022-07-28 18:55:38,69.2167,-51.1,45.28,62,100,5.68
147,Kasane,BW,2022-07-28 18:55:38,-17.8167,25.15,66.29,37,0,8.05
148,Hailey,US,2022-07-28 18:55:38,43.5196,-114.3153,90.88,30,40,9.22
